image,article,kind,space,config,algo,n,unique,collapse,n_clusters,noise_frac,top_color,top_frac,recall,hits,n_roles,t_dedup_ms,t_core_ms,t_extract_ms,wall_s,ok,error
Amlodipin_5mg_01,amlodipin_5mg,original,rgb,optics-xi01,optics-xi,34048,7535,4.52,133,0.0111,gray,0.949,0.25,1,4,1.1,46.2,3.7,0.34,1,
Amlodipin_5mg_01,amlodipin_5mg,original,rgb,hdbscan-sm,hdbscan,34048,7535,4.52,9,0.6144,white,0.162,1.0,4,4,1.1,138.5,0,0.41,1,
Amlodipin_5mg_01,amlodipin_5mg,original,rgb,hdbscan-lg,hdbscan,34048,7535,4.52,5,0.2823,white,0.41,1.0,4,4,1.3,163.6,0,0.47,1,
Amlodipin_5mg_01,amlodipin_5mg,original,rgb,shdbscan,shdbscan,34048,7535,4.52,10,0.6323,white,0.117,1.0,4,4,1.2,3273.0,0,3.54,1,
Amlodipin_5mg_01,amlodipin_5mg,original,rgb,soptics,soptics,34048,7535,4.52,3,0.0301,white,0.471,0.5,2,4,1.1,510.9,2.0,0.81,1,
Amlodipin_5mg_01,amlodipin_5mg,original,lab,optics-thr,optics-threshold,34048,7535,4.52,3,0.0454,gray,0.699,0.5,2,4,1.3,54.8,1.2,0.39,1,
Amlodipin_5mg_01,amlodipin_5mg,original,lab,optics-xi05,optics-xi,34048,7535,4.52,72,0.2444,white,0.176,1.0,4,4,1.3,58.5,1.5,0.37,1,
Amlodipin_5mg_01,amlodipin_5mg,original,lab,optics-xi01,optics-xi,34048,7535,4.52,175,0.014,gray,0.71,0.5,2,4,1.2,64.5,2.3,0.38,1,
Amlodipin_5mg_01,amlodipin_5mg,original,lab,hdbscan-sm,hdbscan,34048,7535,4.52,32,0.7938,red,0.036,1.0,4,4,1.2,140.8,0,0.44,1,
Amlodipin_5mg_01,amlodipin_5mg,original,lab,hdbscan-lg,hdbscan,34048,7535,4.52,5,0.3094,white,0.399,1.0,4,4,1.1,165.9,0,0.48,1,
Amlodipin_5mg_01,amlodipin_5mg,original,lab,shdbscan,shdbscan,34048,7535,4.52,32,0.8099,red,0.036,1.0,4,4,1.4,3234.6,0,3.52,1,
Amlodipin_5mg_01,amlodipin_5mg,original,lab,soptics,soptics,34048,7535,4.52,2,0.0283,gray,0.929,0.25,1,4,1.2,538.6,2.4,0.87,1,
Amlodipin_5mg_02,amlodipin_5mg,original,rgb,optics-thr,optics-threshold,34048,6713,5.07,8,0.0395,gray,0.667,0.5,2,4,1.1,40.4,1.3,0.35,1,
Amlodipin_5mg_02,amlodipin_5mg,original,rgb,optics-xi05,optics-xi,34048,6713,5.07,126,0.0456,white,0.41,1.0,4,4,1.1,40.7,2.2,0.34,1,
Amlodipin_5mg_02,amlodipin_5mg,original,rgb,optics-xi01,optics-xi,34048,6713,5.07,161,0.0149,gray,0.95,0.25,1,4,1.1,41.3,4.9,0.37,1,
Amlodipin_5mg_02,amlodipin_5mg,original,rgb,hdbscan-sm,hdbscan,34048,6713,5.07,12,0.6416,white,0.122,1.0,4,4,1.1,114.6,0,0.39,1,
Amlodipin_5mg_02,amlodipin_5mg,original,rgb,hdbscan-lg,hdbscan,34048,6713,5.07,7,0.2717,white,0.31,1.0,4,4,1.1,135.0,0,0.41,1,
Amlodipin_5mg_02,amlodipin_5mg,original,rgb,shdbscan,shdbscan,34048,6713,5.07,10,0.6009,white,0.19,1.0,4,4,1.1,2718.9,0,3.01,1,
Amlodipin_5mg_02,amlodipin_5mg,original,rgb,soptics,soptics,34048,6713,5.07,3,0.0243,black,0.519,0.5,2,4,1.1,451.6,1.2,0.77,1,
Amlodipin_5mg_02,amlodipin_5mg,original,lab,optics-thr,optics-threshold,34048,6713,5.07,6,0.0425,gray,0.668,0.5,2,4,1.1,44.0,1.3,0.37,1,
Amlodipin_5mg_02,amlodipin_5mg,original,lab,optics-xi05,optics-xi,34048,6713,5.07,93,0.2083,white,0.2,1.0,4,4,1.1,45.4,1.3,0.38,1,
Amlodipin_5mg_02,amlodipin_5mg,original,lab,optics-xi01,optics-xi,34048,6713,5.07,179,0.0206,gray,0.945,0.25,1,4,1.2,44.9,2.0,0.38,1,
Amlodipin_5mg_02,amlodipin_5mg,original,lab,hdbscan-sm,hdbscan,34048,6713,5.07,33,0.7819,red,0.037,1.0,4,4,1.1,113.1,0,0.43,1,
Amlodipin_5mg_02,amlodipin_5mg,original,lab,hdbscan-lg,hdbscan,34048,6713,5.07,15,0.4585,black,0.199,1.0,4,4,1.2,135.9,0,0.44,1,
Amlodipin_5mg_02,amlodipin_5mg,original,lab,shdbscan,shdbscan,34048,6713,5.07,29,0.8143,red,0.037,1.0,4,4,1.7,2833.5,0,3.13,1,
Amlodipin_5mg_02,amlodipin_5mg,original,lab,soptics,soptics,34048,6713,5.07,2,0.0274,gray,0.936,0.25,1,4,1.1,471.7,1.1,0.81,1,
Amlodipin_5mg_03,amlodipin_5mg,original,rgb,optics-thr,optics-threshold,35072,7125,4.92,7,0.0446,white,0.437,1.0,4,4,1.3,43.7,1.3,0.38,1,
Amlodipin_5mg_03,amlodipin_5mg,original,rgb,optics-xi05,optics-xi,35072,7125,4.92,123,0.0224,gray,0.701,0.5,2,4,1.1,44.2,2.0,0.43,1,
Amlodipin_5mg_03,amlodipin_5mg,original,rgb,optics-xi01,optics-xi,35072,7125,4.92,157,0.0163,gray,0.701,0.5,2,4,1.8,41.1,3.3,0.38,1,
Amlodipin_5mg_03,amlodipin_5mg,original,rgb,hdbscan-sm,hdbscan,35072,7125,4.92,13,0.6087,white,0.154,1.0,4,4,1.1,130.5,0,0.43,1,
Amlodipin_5mg_03,amlodipin_5mg,original,rgb,hdbscan-lg,hdbscan,35072,7125,4.92,6,0.2549,white,0.337,1.0,4,4,1.1,149.5,0,0.44,1,
Amlodipin_5mg_03,amlodipin_5mg,original,rgb,shdbscan,shdbscan,35072,7125,4.92,11,0.6496,white,0.116,1.0,4,4,1.6,3009.7,0,3.3,1,
Amlodipin_5mg_03,amlodipin_5mg,original,rgb,soptics,soptics,35072,7125,4.92,3,0.0293,blue,0.516,0.75,3,4,1.1,491.5,1.6,0.8,1,
Amlodipin_5mg_03,amlodipin_5mg,original,lab,optics-thr,optics-threshold,35072,7125,4.92,7,0.0464,white,0.439,1.0,4,4,1.2,47.1,1.3,0.4,1,
Amlodipin_5mg_03,amlodipin_5mg,original,lab,optics-xi05,optics-xi,35072,7125,4.92,91,0.0222,gray,0.701,0.5,2,4,1.1,45.9,1.6,0.41,1,
Amlodipin_5mg_03,amlodipin_5mg,original,lab,optics-xi01,optics-xi,35072,7125,4.92,198,0.0207,gray,0.701,0.5,2,4,1.1,45.4,2.3,0.38,1,
Amlodipin_5mg_03,amlodipin_5mg,original,lab,hdbscan-sm,hdbscan,35072,7125,4.92,30,0.7013,black,0.095,1.0,4,4,1.5,130.8,0,0.44,1,
Amlodipin_5mg_03,amlodipin_5mg,original,lab,hdbscan-lg,hdbscan,35072,7125,4.92,16,0.4679,black,0.237,1.0,4,4,1.2,154.4,0,0.46,1,
Amlodipin_5mg_03,amlodipin_5mg,original,lab,shdbscan,shdbscan,35072,7125,4.92,21,0.7464,black,0.095,1.0,4,4,1.2,3158.0,0,3.47,1,
Amlodipin_5mg_03,amlodipin_5mg,original,lab,soptics,soptics,35072,7125,4.92,3,0.0311,gray,0.706,0.5,2,4,1.4,520.6,1.3,0.86,1,
Bild_Koeln_01,bild_koeln,original,rgb,optics-thr,optics-threshold,49920,15420,3.24,3,0.052,gray,0.886,0.25,1,4,2.3,149.1,2.3,0.63,1,
Bild_Koeln_01,bild_koeln,original,rgb,optics-xi05,optics-xi,49920,15420,3.24,67,0.1306,gray,0.576,0.75,3,4,2.1,153.0,3.7,0.64,1,
Bild_Koeln_01,bild_koeln,original,rgb,optics-xi01,optics-xi,49920,15420,3.24,117,0.0041,gray,0.996,0.0,0,4,2.1,155.2,10.2,0.64,1,
Bild_Koeln_01,bild_koeln,original,rgb,hdbscan-sm,hdbscan,49920,15420,3.24,9,0.4344,gray,0.296,0.75,3,4,2.1,806.0,0,1.2,1,
Bild_Koeln_01,bild_koeln,original,rgb,hdbscan-lg,hdbscan,49920,15420,3.24,5,0.3051,gray,0.343,0.75,3,4,2.5,954.9,0,1.39,1,
Bild_Koeln_01,bild_koeln,original,rgb,shdbscan,shdbscan,49920,15420,3.24,10,0.5665,gray,0.194,0.75,3,4,2.2,16245.5,0,16.7,1,
Bild_Koeln_01,bild_koeln,original,rgb,soptics,soptics,49920,15420,3.24,1,0.0519,gray,0.948,0.0,0,4,2.2,1845.8,2.6,2.33,1,
Bild_Koeln_01,bild_koeln,original,lab,optics-thr,optics-threshold,49920,15420,3.24,4,0.0366,gray,0.893,0.5,2,4,2.0,180.5,2.3,0.67,1,
Bild_Koeln_01,bild_koeln,original,lab,optics-xi05,optics-xi,49920,15420,3.24,52,0.4226,black,0.155,0.75,3,4,2.2,178.1,2.6,0.66,1,
Bild_Koeln_01,bild_koeln,original,lab,optics-xi01,optics-xi,49920,15420,3.24,125,0.3064,black,0.159,0.75,3,4,2.0,189.4,3.3,0.67,1,
Bild_Koeln_01,bild_koeln,original,lab,hdbscan-sm,hdbscan,49920,15420,3.24,23,0.6541,yellow,0.052,0.75,3,4,2.8,789.1,0,1.25,1,
Bild_Koeln_01,bild_koeln,original,lab,hdbscan-lg,hdbscan,49920,15420,3.24,4,0.2918,gray,0.339,0.75,3,4,2.4,831.7,0,1.26,1,
Bild_Koeln_01,bild_koeln,original,lab,shdbscan,shdbscan,49920,15420,3.24,8,0.6342,gray,0.23,0.75,3,4,3.0,16064.2,0,16.5,1,
Bild_Koeln_01,bild_koeln,original,lab,soptics,soptics,49920,15420,3.24,3,0.0587,gray,0.935,0.25,1,4,2.2,1523.9,2.6,2.06,1,
Bild_Koeln_02,bild_koeln,original,rgb,optics-thr,optics-threshold,56576,16010,3.53,2,0.0437,gray,0.913,0.25,1,4,2.3,164.6,2.3,0.69,1,
Bild_Koeln_02,bild_koeln,original,rgb,optics-xi05,optics-xi,56576,16010,3.53,54,0.1091,black,0.792,0.75,3,4,2.3,159.3,3.6,0.66,1,
Bild_Koeln_02,bild_koeln,original,rgb,optics-xi01,optics-xi,56576,16010,3.53,106,0.0046,gray,0.995,0.0,0,4,3.6,162.2,10.5,0.7,1,
Bild_Koeln_02,bild_koeln,original,rgb,hdbscan-sm,hdbscan,56576,16010,3.53,7,0.5449,gray,0.255,0.75,3,4,2.1,840.6,0,1.3,1,
Bild_Koeln_02,bild_koeln,original,rgb,hdbscan-lg,hdbscan,56576,16010,3.53,6,0.4654,gray,0.279,0.75,3,4,3.0,1065.6,0,1.52,1,
Bild_Koeln_02,bild_koeln,original,rgb,shdbscan,shdbscan,56576,16010,3.53,8,0.6791,gray,0.18,0.75,3,4,2.1,19209.3,0,19.68,1,
Bild_Koeln_02,bild_koeln,original,rgb,soptics,soptics,56576,16010,3.53,1,0.0455,gray,0.955,0.0,0,4,2.2,2162.6,2.7,2.67,1,
Bild_Koeln_02,bild_koeln,original,lab,optics-thr,optics-threshold,56576,16010,3.53,2,0.0361,gray,0.942,0.0,0,4,2.5,206,2.3,0.77,1,
Bild_Koeln_02,bild_koeln,original,lab,optics-xi05,optics-xi,56576,16010,3.53,48,0.4032,black,0.327,0.5,2,4,2.4,210.4,2.6,0.78,1,
Bild_Koeln_02,bild_koeln,original,lab,optics-xi01,optics-xi,56576,16010,3.53,108,0.3044,black,0.412,0.75,3,4,3.1,205.4,2.9,0.74,1,
Bild_Koeln_02,bild_koeln,original,lab,hdbscan-sm,hdbscan,56576,16010,3.53,13,0.5902,gray,0.256,0.75,3,4,3.7,828.2,0,1.29,1,
